season,manager,phase,player_raw,player,pos,team,price,fpl_points,fpl_minutes,matched
2018-19,Vikash,rebid,De Bruyne,De Bruyne,MID,,700,59,968,yes
2018-19,Vikash,auction,Sánchez,Sánchez,MID,,550,47,869,yes
2018-19,Vikash,auction,Özil,Özil,MID,,460,89,1732,yes
2018-19,Vikash,auction,Morata,Morata,FWD,,380,46,936,yes
2018-19,Vikash,auction,Sané,Sané,MID,,350,156,1857,yes
2018-19,Vikash,rebid,Sané,Sané,MID,,350,156,1857,yes
2018-19,Vikash,rebid,Otamendi,Otamendi,DEF,,330,70,1233,yes
2018-19,Vikash,auction,Bellerín,Bellerín,DEF,,230,60,1532,yes
2018-19,Vikash,rebid,King,King,FWD,,200,141,2963,yes
2018-19,Vikash,rebid,Alderweireld,Alderweireld,DEF,,200,107,2921,yes
2018-19,Vikash,rebid,Patrício,Patrício,GK,,200,118,3330,yes
2018-19,Vikash,rebid,King,King,FWD,,200,141,2963,yes
2018-19,Vikash,rebid,Alderweireld,Alderweireld,DEF,,200,107,2921,yes
2018-19,Vikash,rebid,Deeney,Deeney,FWD,,200,116,2542,yes
2018-19,Vikash,auction,van Aanholt,van Aanholt,DEF,,181,140,3196,yes
2018-19,Vikash,rebid,van Aanholt,van Aanholt,DEF,,171,140,3196,yes
2018-19,Vikash,auction,Fabianski,Fabianski,GK,,170,143,3420,yes
2018-19,Vikash,rebid,Jesus,Jesus,FWD,,150,79,1017,yes
2018-19,Vikash,rebid,Jesus,Jesus,FWD,,150,79,1017,yes
2018-19,Vikash,settled,Jesus,Jesus,FWD,,150,79,1017,yes
2018-19,Vikash,rebid,Doucouré,Doucouré,MID,,120,124,3061,yes
2018-19,Vikash,rebid,Stones,Stones,DEF,,100,83,1761,yes
2018-19,Vikash,rebid,Gudmundsson,Gudmundsson,MID,,100,92,1743,yes
2018-19,Vikash,rebid,Stones,Stones,DEF,,100,83,1761,yes
2018-19,Vikash,rebid,Dubravka,Dubravka,GK,,100,131,3420,yes
2018-19,Vikash,rebid,Patrício,Patrício,GK,,100,118,3330,yes
2018-19,Vikash,auction,David Luiz,David Luiz,DEF,,88,164,3238,yes
2018-19,Vikash,rebid,Deeney,Deeney,FWD,,70,116,2542,yes
2018-19,Vikash,auction,Sessegnon,Sessegnon,MID,,60,94,2291,yes
2018-19,Vikash,rebid,Mahrez,Mahrez,MID,,60,102,1331,yes
2018-19,Vikash,rebid,Maguire,Maguire,DEF,,50,92,2596,yes
2018-19,Vikash,rebid,Jesus,Jesus,FWD,,50,79,1017,yes
2018-19,Vikash,blind,Maguire,Maguire,DEF,,50,92,2596,yes
2018-19,Vikash,settled,Maguire,Maguire,DEF,,50,92,2596,yes
2018-19,Vikash,auction,Murray,Murray,FWD,,40,129,2501,yes
2018-19,Vikash,rebid,Shaqiri,Shaqiri,MID,,40,88,1052,yes
2018-19,Vikash,settled,Shaqiri,Shaqiri,MID,,40,88,1052,yes
2018-19,Vikash,auction,Pedro,Pedro,MID,,30,112,1768,yes
2018-19,Vikash,auction,Patrício,Patrício,GK,,26,118,3330,yes
2018-19,Vikash,rebid,Mahrez,Mahrez,MID,,20,102,1331,yes
2018-19,Vikash,rebid,Otamendi,Otamendi,DEF,,20,70,1233,yes
2018-19,Vikash,settled,Mahrez,Mahrez,MID,,20,102,1331,yes
2018-19,Vikash,settled,Otamendi,Otamendi,DEF,,20,70,1233,yes
2018-19,Vikash,auction,Austin,Austin,FWD,,10,46,970,yes
2018-19,Vikash,rebid,Elyounoussi,Elyounoussi,MID,,10,28,785,yes
2018-19,Vikash,rebid,Barkley,Barkley,MID,,10,79,1231,yes
2018-19,Vikash,rebid,Lucas Moura,Lucas Moura,MID,,10,131,2115,yes
2018-19,Vikash,rebid,Davies,Davies,DEF,,10,66,1837,yes
2018-19,Vikash,rebid,Stanislas,Stanislas,MID,,10,56,1021,yes
2018-19,Vikash,auction,Sokratis,Sokratis,DEF,,1,64,2198,yes
2018-19,Vikash,auction,Coleman,Coleman,DEF,,1,125,2558,yes
2018-19,Vikash,rebid,Barkley,Barkley,MID,,1,79,1231,yes
2018-19,Vikash,rebid,Seri,Seri,MID,,1,72,2239,yes
2018-19,Vikash,rebid,Kovacic,Kovacic,MID,,1,64,1725,yes
2018-19,Vikash,rebid,Ryan,Ryan,GK,,1,104,3060,yes
2018-19,Vikash,rebid,Duffy,Duffy,DEF,,1,115,3087,yes
2018-19,Vikash,rebid,Redmond,Redmond,MID,,1,137,3272,yes
2018-19,Vikash,rebid,Evans,Evans,DEF,,1,77,1993,yes
2018-19,Vikash,rebid,Duffy,Duffy,DEF,,1,115,3087,yes
2018-19,Vikash,rebid,Cathcart,Cathcart,DEF,,1,93,3095,yes
2018-19,Vikash,rebid,McCarthy,McCarthy,GK,,1,73,2250,yes
2018-19,Vikash,blind,Ryan,Ryan,GK,,1,104,3060,yes
2018-19,Vikash,blind,Duffy,Duffy,DEF,,1,115,3087,yes
2018-19,Vikash,blind,Kovacic,Kovacic,MID,,1,64,1725,yes
2018-19,Vikash,blind,Seri,Seri,MID,,1,72,2239,yes
2018-19,Vikash,blind,Barkley,Barkley,MID,,1,79,1231,yes
2018-19,Vikash,blind,Tosun,Tosun,FWD,,1,56,1044,yes
2018-19,Vikash,settled,Barkley,Barkley,MID,,1,79,1231,yes
2018-19,Vikash,settled,Seri,Seri,MID,,1,72,2239,yes
2018-19,Vikash,settled,Kovacic,Kovacic,MID,,1,64,1725,yes
2018-19,Vikash,settled,Ryan,Ryan,GK,,1,104,3060,yes
2018-19,Vikash,settled,Duffy,Duffy,DEF,,1,115,3087,yes
2018-19,Vikash,rebid,King,King,FWD,,,141,2963,yes
2018-19,Vikash,rebid,Young,Young,DEF,,,73,2568,yes
2018-19,Vikash,rebid,van Aanholt,van Aanholt,DEF,,,140,3196,yes
2018-19,Vikash,rebid,Patrício,Patrício,GK,,,118,3330,yes
2018-19,Vikash,rebid,Jesus,Jesus,FWD,,,79,1017,yes
2018-19,Vikash,rebid,De Bruyne,De Bruyne,MID,,,59,968,yes
2018-19,Vikash,rebid,Mahrez,Mahrez,MID,,,102,1331,yes
2018-19,Vikash,rebid,Morata,Morata,FWD,,,46,936,yes
2018-19,Vikash,rebid,David Silva,David Silva,MID,,,143,2399,yes
2018-19,Vikash,rebid,Ramsey,Ramsey,MID,,,91,1319,yes
2018-19,Vikash,rebid,Shaqiri,Shaqiri,MID,,,88,1052,yes
2018-19,Vikash,rebid,King,King,FWD,,,141,2963,yes
2018-19,Vikash,rebid,Alderweireld,Alderweireld,DEF,,,107,2921,yes
2018-19,Vikash,rebid,Young,Young,DEF,,,73,2568,yes
2018-19,Vikash,rebid,Stones,Stones,DEF,,,83,1761,yes
2018-19,Vikash,rebid,Maguire,Maguire,DEF,,,92,2596,yes
2018-19,Vikash,rebid,van Aanholt,van Aanholt,DEF,,,140,3196,yes
2018-19,Vikash,rebid,Kovacic,Kovacic,MID,,,64,1725,yes
2018-19,Vikash,rebid,Ryan,Ryan,GK,,,104,3060,yes
2018-19,Vikash,rebid,Patrício,Patrício,GK,,,118,3330,yes
2018-19,Vikash,rebid,Duffy,Duffy,DEF,,,115,3087,yes
2018-19,Vikash,settled,King,King,FWD,,,141,2963,yes
2018-19,Vikash,settled,Young,Young,DEF,,,73,2568,yes
2018-19,Vikash,settled,van Aanholt,van Aanholt,DEF,,,140,3196,yes
2018-19,Vikash,settled,Patrício,Patrício,GK,,,118,3330,yes
2018-19,Vikash,settled,Tosun,Tosun,FWD,,,56,1044,yes
2019-20,Ash,settled,Vardy,Vardy,FWD,,700,210,3032,yes
2019-20,Ash,settled,Wilson,Callum Wilson,FWD,,520,116,2906,yes
2019-20,Ash,settled,Digne,Digne,DEF,,310,120,3031,yes
2019-20,Ash,settled,Giroud,Giroud,FWD,,150,68,988,yes
2019-20,Ash,settled,Jonny,Jonny,DEF,,105,123,2885,yes
2019-20,Ash,settled,Brooks,Brooks,MID,,80,21,505,yes
2019-20,Ash,settled,Redmond,Redmond,MID,,50,107,2763,yes
2019-20,Ash,settled,Ritchie,Ritchie,DEF,,50,74,1312,yes
2019-20,Ash,settled,Grealish,Grealish,MID,,20,149,3233,yes
2019-20,Ash,settled,Chilwell,Chilwell,DEF,,20,114,2374,yes
2019-20,Ash,settled,Chamberlain,Chamberlain,MID,,10,76,1475,yes
2019-20,Ash,settled,Ryan,Ryan,GK,,5,135,3420,yes
2019-20,Ash,settled,Pope,Pope,GK,,1,170,3420,yes
2019-20,Ash,settled,El Mohamady,El Mohamady,DEF,,1,39,1024,yes
2019-20,Ash,settled,McGinn,McGinn,MID,,1,84,2312,yes
2019-20,Chris,settled,Mané,Mané,MID,,900,221,2745,yes
2019-20,Chris,settled,Sigurdsson,Sigurdsson,MID,,440,95,2555,yes
2019-20,Chris,settled,Jiménez,Jiménez,FWD,,350,194,3241,yes
2019-20,Chris,settled,Zaha,Zaha,MID,,340,120,3279,yes
2019-20,Chris,settled,Walker,Walker,DEF,,180,114,2392,yes
2019-20,Chris,settled,Foster,Foster,GK,,41,137,3420,yes
2019-20,Chris,settled,Ings,Ings,FWD,,40,198,2800,yes
2019-20,Chris,settled,Doucouré,Doucouré,MID,,20,113,3156,yes
2019-20,Chris,settled,Vertonghen,Vertonghen,DEF,,12,62,1644,yes
2019-20,Chris,settled,Stones,Stones,DEF,,11,34,1118,yes
2019-20,Chris,settled,Wood,Wood,FWD,,10,136,2436,yes
2019-20,Chris,settled,Emerson,Emerson,DEF,,1,19,1022,yes
2019-20,Chris,settled,Matip,Matip,DEF,,1,39,703,yes
2019-20,Chris,settled,Kepa,Kepa,GK,,1,90,2970,yes
2019-20,Chris,settled,Vrancic,Vrancic,MID,,1,29,624,yes
2019-20,Cody,settled,Lacazette,Lacazette,FWD,,680,118,1867,yes
2019-20,Cody,settled,Son,Son,MID,,460,169,2478,yes
2019-20,Cody,settled,van Dijk,van Dijk,DEF,,330,178,3420,yes
2019-20,Cody,settled,Alonso,Alonso,DEF,,270,100,1429,yes
2019-20,Cody,settled,Azpilicueta,Azpilicueta,DEF,,250,130,3229,yes
2019-20,Cody,settled,van Aanholt,van Aanholt,DEF,,250,109,2507,yes
2019-20,Cody,settled,Alli,Alli,MID,,140,117,1845,yes
2019-20,Cody,settled,Deeney,Deeney,FWD,,90,109,2224,yes
2019-20,Cody,settled,Tielemans,Tielemans,MID,,90,117,2823,yes
2019-20,Cody,settled,Leno,Leno,GK,,86,114,2649,yes
2019-20,Cody,settled,David Luiz,David Luiz,DEF,,80,94,2809,yes
2019-20,Cody,settled,King,King,FWD,,60,99,2010,yes
2019-20,Cody,settled,David Silva,David Silva,MID,,50,139,1821,yes
2019-20,Cody,settled,Lucas Moura,Lucas Moura,MID,,20,100,2235,yes
2019-20,Cody,settled,de Gea,de Gea,GK,,10,143,3420,yes
2019-20,Lakshman,settled,Salah,Salah,MID,,1050,233,2879,yes
2019-20,Lakshman,settled,Kane,Kane,FWD,,800,158,2588,yes
2019-20,Lakshman,settled,Alexander-Arnold,Alexander-Arnold,DEF,,400,210,3173,yes
2019-20,Lakshman,settled,Ederson,Ederson,GK,,330,133,3071,yes
2019-20,Lakshman,settled,Bernardo Silva,Bernardo Silva,MID,,260,116,2021,yes
2019-20,Lakshman,settled,Willian,Willian,MID,,70,168,2595,yes
2019-20,Lakshman,settled,Alderweireld,Alderweireld,DEF,,38,97,2957,yes
2019-20,Lakshman,settled,Walcott,Walcott,MID,,10,63,1281,yes
2019-20,Lakshman,settled,Mkhitaryan,Mkhitaryan,MID,,10,4,110,yes
2019-20,Lakshman,settled,Deulofeu,Deulofeu,FWD,,10,88,2097,yes
2019-20,Lakshman,settled,Murray,Murray,FWD,,10,36,785,yes
2019-20,Lakshman,settled,Dunk,Dunk,DEF,,1,128,3230,yes
2019-20,Lakshman,settled,Boly,Boly,DEF,,1,97,1980,yes
2019-20,Lakshman,settled,Bellerín,Bellerín,DEF,,1,44,1156,yes
2019-20,Lakshman,settled,Begovic,Begovic,GK,,1,0,0,yes
2019-20,Milo,settled,Agüero,Agüero,FWD,,1050,132,1449,yes
2019-20,Milo,settled,Eriksen,Eriksen,MID,,370,48,1090,yes
2019-20,Milo,settled,Laporte,Laporte,DEF,,340,63,1096,yes
2019-20,Milo,settled,Wan-Bissaka,Wan-Bissaka,DEF,,230,127,3070,yes
2019-20,Milo,settled,Pogba,Pogba,MID,,200,51,1202,yes
2019-20,Milo,settled,Jota,Jota,FWD,,150,105,2278,yes
2019-20,Milo,settled,Jesus,Jesus,FWD,,120,146,2018,yes
2019-20,Milo,settled,Pereira,Pereira,DEF,,120,123,2520,yes
2019-20,Milo,settled,Coleman,Coleman,DEF,,105,55,1833,yes
2019-20,Milo,settled,Milivojevic,Milivojevic,MID,,80,81,2510,yes
2019-20,Milo,settled,Pickford,Pickford,GK,,40,117,3420,yes
2019-20,Milo,settled,Maguire,Maguire,DEF,,13,123,3420,yes
2019-20,Milo,settled,Hudson-Odoi,Hudson-Odoi,MID,,10,53,849,yes
2019-20,Milo,settled,Lloris,Lloris,GK,,10,98,1808,yes
2019-20,Milo,settled,Jota,Jota,MID,,10,17,329,yes
2019-20,Olli,settled,Aubameyang,Aubameyang,FWD,,950,205,3136,yes
2019-20,Olli,settled,Firmino,Firmino,FWD,,520,155,2985,yes
2019-20,Olli,settled,Rashford,Rashford,FWD,,490,177,2645,yes
2019-20,Olli,settled,Robertson,Robertson,DEF,,440,181,3111,yes
2019-20,Olli,settled,Felipe Anderson,Felipe Anderson,MID,,290,66,1493,yes
2019-20,Olli,settled,Gomez,Gomez,DEF,,15,93,1999,yes
2019-20,Olli,settled,Ward-Prowse,Ward-Prowse,MID,,10,117,3420,yes
2019-20,Olli,settled,Hourihane,Hourihane,MID,,10,83,1526,yes
2019-20,Olli,settled,McNeil,McNeil,MID,,10,123,3339,yes
2019-20,Olli,settled,Schmeichel,Schmeichel,GK,,10,156,3420,yes
2019-20,Olli,settled,Pereyra,Pereyra,MID,,1,60,1641,yes
2019-20,Olli,settled,Cresswell,Cresswell,DEF,,1,79,2727,yes
2019-20,Olli,settled,Aarons,Aarons,DEF,,1,66,3240,yes
2019-20,Olli,settled,Delph,Delph,DEF,,1,24,1187,yes
2019-20,Olli,settled,Dubravka,Dubravka,GK,,1,143,3420,yes
2019-20,Trent,settled,Sterling,Sterling,MID,,1000,204,2651,yes
2019-20,Trent,settled,Richarlison,Richarlison,MID,,500,165,3070,yes
2019-20,Trent,settled,Fraser,Fraser,MID,,330,73,2061,yes
2019-20,Trent,settled,Alisson,Alisson,GK,,290,122,2543,yes
2019-20,Trent,settled,Sané,Sané,MID,,200,1,11,yes
2019-20,Trent,settled,Doherty,Doherty,DEF,,180,167,2836,yes
2019-20,Trent,settled,Maddison,Maddison,MID,,180,125,2624,yes
2019-20,Trent,settled,Shaw,Shaw,DEF,,75,67,1730,yes
2019-20,Trent,settled,Pukki,Pukki,FWD,,50,139,2884,yes
2019-20,Trent,settled,Mendy,Mendy,DEF,,10,74,1491,yes
2019-20,Trent,settled,Wesley,Wesley,FWD,,10,67,1782,yes
2019-20,Trent,settled,Sharp,Sharp,FWD,,10,57,1037,yes
2019-20,Trent,settled,Adam Smith,Adam Smith,DEF,,1,49,2055,yes
2019-20,Trent,settled,Diop,Diop,DEF,,1,76,2765,yes
2019-20,Trent,settled,Fabianski,Fabianski,GK,,1,83,2117,yes
2019-20,Vikash,settled,De Bruyne,De Bruyne,MID,,940,251,2790,yes
2019-20,Vikash,settled,Zinchenko,Zinchenko,DEF,,171,49,1271,yes
2019-20,Vikash,settled,Aké,Aké,DEF,,71,79,2503,yes
2019-20,Vikash,settled,Patrício,Patrício,GK,,61,153,3420,yes
2019-20,Vikash,settled,Lukaku,Lukaku,FWD,,40,0,0,yes
2019-20,Vikash,settled,Maitland-Niles,Maitland-Niles,DEF,,1,41,1382,yes
2019-20,Vikash,settled,Holebas,Holebas,DEF,,1,21,1022,yes
2019-20,Vikash,settled,Bailly,Bailly,DEF,,1,9,148,yes
2019-20,Vikash,settled,Drmic,Drmic,FWD,,1,26,636,yes
2019-20,Vikash,settled,Bissouma,Bissouma,MID,,1,39,1253,yes
2019-20,Vikash,settled,Xhaka,Xhaka,MID,,1,73,2586,yes
2019-20,Vikash,settled,Ampadu,Ampadu,MID,,1,0,0,yes
2019-20,Vikash,settled,Janssen,Janssen,FWD,,1,0,0,yes
2019-20,Vikash,settled,Cavaleiro,Cavaleiro,MID,,1,0,0,yes
2019-20,Vikash,settled,Hart,Hart,GK,,1,0,0,yes
2020-21,Alex Patton,rebid,Grealish,Grealish,MID,,650,135,2183,yes
2020-21,Alex Patton,rebid,Pulisic,Pulisic,MID,,425,82,1731,yes
2020-21,Alex Patton,rebid,Kane,Kane,FWD,,400,242,3083,yes
2020-21,Alex Patton,rebid,Rashford,Rashford,MID,,400,174,2917,yes
2020-21,Alex Patton,auction,Sterling,Sterling,MID,,350,154,2534,yes
2020-21,Alex Patton,auction,Vardy,Vardy,FWD,,350,187,2838,yes
2020-21,Alex Patton,rebid,Willian,Willian,MID,,225,78,1398,yes
2020-21,Alex Patton,rebid,Lacazette,Lacazette,FWD,,200,129,1916,yes
2020-21,Alex Patton,rebid,Pogba,Pogba,MID,,200,92,1892,yes
2020-21,Alex Patton,rebid,Azpilicueta,Azpilicueta,DEF,,175,113,2187,yes
2020-21,Alex Patton,rebid,Maupay,Maupay,FWD,,160,105,2508,yes
2020-21,Alex Patton,rebid,Patrício,Patrício,GK,,160,132,3330,yes
2020-21,Alex Patton,auction,Zaha,Zaha,MID,,130,136,2612,yes
2020-21,Alex Patton,auction,Mahrez,Mahrez,MID,,100,145,1945,yes
2020-21,Alex Patton,rebid,Foden,Foden,MID,,90,135,1607,yes
2020-21,Alex Patton,rebid,Mina,Mina,DEF,,90,79,1936,yes
2020-21,Alex Patton,auction,Maupay,Maupay,FWD,,25,105,2508,yes
2020-21,Alex Patton,auction,Digne,Digne,DEF,,20,120,2681,yes
2020-21,Alex Patton,auction,Pereira,Pereira,DEF,,15,27,954,yes
2020-21,Alex Patton,auction,Patrício,Patrício,GK,,10,132,3330,yes
2020-21,Alex Patton,rebid,Tielemans,Tielemans,MID,,10,133,3356,yes
2020-21,Alex Patton,blind,Dubravka,Dubravka,GK,,7,48,1170,yes
2020-21,Alex Patton,auction,James,James,MID,,5,43,907,yes
2020-21,Alex Patton,auction,Alonso,Alonso,DEF,,5,57,958,yes
2020-21,Alex Patton,auction,Ward-Prowse,Ward-Prowse,MID,,5,156,3420,yes
2020-21,Alex Patton,auction,Aké,Aké,DEF,,5,29,797,yes
2020-21,Alex Patton,blind,Otamendi,Otamendi,DEF,,2,0,0,yes
2020-21,Alex Patton,blind,Murray,Murray,FWD,,2,0,0,yes
2020-21,Alex Patton,rebid,Dunk,Dunk,DEF,,,130,2932,yes
2020-21,Alex Patton,rebid,Vardy,Vardy,FWD,,,187,2838,yes
2020-21,Alex Patton,rebid,Firmino,Firmino,FWD,,,141,2837,yes
2020-21,Alex Patton,rebid,Ings,Ings,FWD,,,131,2172,yes
2020-21,Alex Patton,rebid,Alexander-Arnold,Alexander-Arnold,DEF,,,160,3029,yes
2020-21,Alex Patton,rebid,Zaha,Zaha,MID,,,136,2612,yes
2020-21,Alex Patton,rebid,Robertson,Robertson,DEF,,,161,3384,yes
2020-21,Alex Patton,rebid,Fabianski,Fabianski,GK,,,133,3150,yes
2020-21,Alex Patton,rebid,Mings,Mings,DEF,,,128,3194,yes
2020-21,Alex Patton,rebid,Dunk,Dunk,DEF,,,130,2932,yes
2020-21,Alex Patton,rebid,Targett,Targett,DEF,,,138,3404,yes
2020-21,Damien,rebid,Calvert-Lewin,Calvert-Lewin,FWD,,700,165,2871,yes
2020-21,Damien,rebid,Dallas,Dallas,DEF,,610,171,3410,yes
2020-21,Damien,auction,Alexander-Arnold,Alexander-Arnold,DEF,,440,160,3029,yes
2020-21,Damien,rebid,Ogbonna,Ogbonna,DEF,,410,100,2492,yes
2020-21,Damien,rebid,Firmino,Firmino,FWD,,400,141,2837,yes
2020-21,Damien,rebid,Neto,Neto,MID,,350,124,2549,yes
2020-21,Damien,auction,Aubameyang,Aubameyang,MID,,300,131,2330,yes
2020-21,Damien,rebid,Son,Son,MID,,200,228,3119,yes
2020-21,Damien,rebid,Pépé,Pépé,MID,,200,114,1606,yes
2020-21,Damien,rebid,Richarlison,Richarlison,FWD,,200,123,2862,yes
2020-21,Damien,rebid,Robertson,Robertson,DEF,,200,161,3384,yes
2020-21,Damien,auction,Davis,Davis,FWD,,151,23,265,yes
2020-21,Damien,rebid,Lloris,Lloris,GK,,133,149,3420,yes
2020-21,Damien,auction,Jesus,Jesus,FWD,,100,115,2056,yes
2020-21,Damien,rebid,Bowen,Bowen,MID,,100,141,2556,yes
2020-21,Damien,rebid,Traoré,Traoré,MID,,100,94,2640,yes
2020-21,Damien,rebid,Trossard,Trossard,MID,,90,132,2602,yes
2020-21,Damien,rebid,Tarkowski,Tarkowski,DEF,,80,109,3240,yes
2020-21,Damien,rebid,Boly,Boly,DEF,,80,68,1879,yes
2020-21,Damien,rebid,Moutinho,Moutinho,MID,,80,73,2526,yes
2020-21,Damien,rebid,Saïss,Saïss,DEF,,80,99,2407,yes
2020-21,Damien,rebid,Dendoncker,Dendoncker,MID,,80,77,2498,yes
2020-21,Damien,rebid,Martínez,Martínez,GK,,80,186,3420,yes
2020-21,Damien,auction,Baldock,Baldock,DEF,,40,63,2787,yes
2020-21,Damien,rebid,Bellerín,Bellerín,DEF,,40,94,2089,yes
2020-21,Damien,auction,Moutinho,Moutinho,MID,,11,73,2526,yes
2020-21,Damien,auction,Arrizabalaga,Arrizabalaga,GK,,5,26,585,yes
2020-21,Damien,auction,Coady,Coady,DEF,,5,106,3303,yes
2020-21,Damien,auction,Dendoncker,Dendoncker,MID,,5,77,2498,yes
2020-21,Damien,auction,Martínez,Martínez,GK,,5,186,3420,yes
2020-21,Damien,auction,Egan,Egan,DEF,,2,57,2628,yes
2020-21,Damien,auction,Saïss,Saïss,DEF,,2,99,2407,yes
2020-21,Damien,auction,Noble,Noble,MID,,2,27,701,yes
2020-21,Damien,auction,Rice,Rice,MID,,2,86,2880,yes
2020-21,Damien,auction,Brewster,Brewster,FWD,,2,34,1113,yes
2020-21,Damien,rebid,Barnes,Barnes,MID,,,126,1944,yes
2020-21,Damien,rebid,Calvert-Lewin,Calvert-Lewin,FWD,,,165,2871,yes
2020-21,Damien,rebid,Grealish,Grealish,MID,,,135,2183,yes
2020-21,Damien,rebid,Maupay,Maupay,FWD,,,105,2508,yes
2020-21,Damien,rebid,Adams,Adams,FWD,,,137,2662,yes
2020-21,Damien,rebid,Pope,Pope,GK,,,144,2880,yes
2020-21,Damien,rebid,Coady,Coady,DEF,,,106,3303,yes
2020-21,Damien,rebid,Bellerín,Bellerín,DEF,,,94,2089,yes
2020-21,Damien,rebid,Saïss,Saïss,DEF,,,99,2407,yes
2020-21,Damien,rebid,Martínez,Martínez,GK,,,186,3420,yes
2020-21,Hin,auction,Martial,Martial,FWD,,300,75,1477,yes
2020-21,Hin,rebid,Mahrez,Mahrez,MID,,275,145,1945,yes
2020-21,Hin,auction,Pulisic,Pulisic,MID,,270,82,1731,yes
2020-21,Hin,auction,van Dijk,van Dijk,DEF,,230,15,370,yes
2020-21,Hin,rebid,Torres,Torres,MID,,225,95,1297,yes
2020-21,Hin,rebid,Havertz,Havertz,MID,,225,91,1512,yes
2020-21,Hin,auction,Laporte,Laporte,DEF,,200,58,1343,yes
2020-21,Hin,rebid,Ziyech,Ziyech,MID,,200,70,1164,yes
2020-21,Hin,rebid,Walker,Walker,DEF,,200,91,1944,yes
2020-21,Hin,rebid,Maguire,Maguire,DEF,,200,124,3047,yes
2020-21,Hin,rebid,Alisson,Alisson,GK,,160,140,2970,yes
2020-21,Hin,rebid,Laporte,Laporte,DEF,,160,58,1343,yes
2020-21,Hin,rebid,Maguire,Maguire,DEF,,160,124,3047,yes
2020-21,Hin,rebid,Werner,Werner,FWD,,150,128,2598,yes
2020-21,Hin,rebid,McGinn,McGinn,MID,,140,114,3330,yes
2020-21,Hin,rebid,Azpilicueta,Azpilicueta,DEF,,100,113,2187,yes
2020-21,Hin,auction,Alisson,Alisson,GK,,80,140,2970,yes
2020-21,Hin,rebid,Walker,Walker,DEF,,80,91,1944,yes
2020-21,Hin,rebid,Mitrović,Mitrović,FWD,,80,63,1389,yes
2020-21,Hin,rebid,Jonny,Jonny,DEF,,80,16,496,yes
2020-21,Hin,auction,Bernardo Silva,Bernardo Silva,MID,,60,94,2063,yes
2020-21,Hin,rebid,Pépé,Pépé,MID,,25,114,1606,yes
2020-21,Hin,auction,Pépé,Pépé,MID,,20,114,1606,yes
2020-21,Hin,auction,Alli,Alli,MID,,20,30,613,yes
2020-21,Hin,auction,Maguire,Maguire,DEF,,10,124,3047,yes
2020-21,Hin,rebid,Laporte,Laporte,DEF,,10,58,1343,yes
2020-21,Hin,rebid,Mitrović,Mitrović,FWD,,10,63,1389,yes
2020-21,Hin,blind,Antonio,Antonio,FWD,,10,118,1972,yes
2020-21,Hin,auction,Ayew,Ayew,FWD,,5,70,2086,yes
2020-21,Hin,auction,van Aanholt,van Aanholt,DEF,,5,54,1775,yes
2020-21,Hin,blind,Rice,Rice,MID,,1,86,2880,yes
2020-21,Hin,rebid,Mahrez,Mahrez,MID,,,145,1945,yes
2020-21,Hin,rebid,Ziyech,Ziyech,MID,,,70,1164,yes
2020-21,Hin,rebid,Ederson,Ederson,GK,,,160,3240,yes
2020-21,Hin,rebid,Schmeichel,Schmeichel,GK,,,128,3420,yes
2020-21,Hin,rebid,Rodriguez,Rodríguez,MID,,,101,1763,yes
2020-21,Hin,rebid,Havertz,Havertz,MID,,,91,1512,yes
2020-21,Hin,blind,Rudiger,Rüdiger,DEF,,,93,1710,yes
2020-21,Hin,blind,Noble,Noble,MID,,,27,701,yes
2020-21,Jonathan,rebid,Watkins,Watkins,FWD,,690,168,3328,yes
2020-21,Jonathan,rebid,Rodriguez,Rodríguez,MID,,625,101,1763,yes
2020-21,Jonathan,rebid,Sterling,Sterling,MID,,400,154,2534,yes
2020-21,Jonathan,rebid,Barnes,Barnes,MID,,400,126,1944,yes
2020-21,Jonathan,rebid,Cancelo,Cancelo,DEF,,380,138,2298,yes
2020-21,Jonathan,rebid,Martial,Martial,FWD,,200,75,1477,yes
2020-21,Jonathan,rebid,Fornals,Fornals,MID,,200,125,2571,yes
2020-21,Jonathan,rebid,Adams,Adams,FWD,,200,137,2662,yes
2020-21,Jonathan,rebid,Ederson,Ederson,GK,,160,160,3240,yes
2020-21,Jonathan,rebid,Doherty,Doherty,DEF,,160,47,1238,yes
2020-21,Jonathan,rebid,Schmeichel,Schmeichel,GK,,160,128,3420,yes
2020-21,Jonathan,rebid,Chilwell,Chilwell,DEF,,160,139,2286,yes
2020-21,Jonathan,rebid,Wan-Bissaka,Wan-Bissaka,DEF,,160,144,3060,yes
2020-21,Jonathan,rebid,Harrison,Harrison,MID,,150,160,2846,yes
2020-21,Jonathan,auction,Son,Son,MID,,130,228,3119,yes
2020-21,Jonathan,auction,Chilwell,Chilwell,DEF,,125,139,2286,yes
2020-21,Jonathan,auction,Ederson,Ederson,GK,,100,160,3240,yes
2020-21,Jonathan,rebid,Barkley,Barkley,MID,,90,76,1566,yes
2020-21,Jonathan,auction,Doherty,Doherty,DEF,,60,47,1238,yes
2020-21,Jonathan,auction,Wan-Bissaka,Wan-Bissaka,DEF,,55,144,3060,yes
2020-21,Jonathan,auction,Pogba,Pogba,MID,,50,92,1892,yes
2020-21,Jonathan,auction,Jonny,Jonny,DEF,,50,16,496,yes
2020-21,Jonathan,auction,Wood,Wood,FWD,,35,138,2741,yes
